ID,Titulo,Autores,Año,DOI,Introduccion,Metodologia,Analisis_Requerimientos,Entorno_Experimental,Tamaño_Dataset,Metricas_Rendimiento,Limitaciones,Discusiones,Implementacion_Software,Conclusion,Referencia_BibTeX,Accuracy_Num,Tipo_Publicacion,Venue,Metodologia_Categorizada,Dataset_Tipo,Metodologia_2x2,Metodologia_3x3,Periodo_Año,Entorno_3x3,Implementacion_Cruce,Limitacion_Cruce
1,Research on the Analysis and Recognition System for Dangerous Driving Behaviors Based on Convolutional Neural Networks,"Yunpeng Liu, Joan Lazaro",2026,10.71222/7k53hy91,"To address the critical need for real-time monitoring of hazardous behaviors that compromise road safety, this study presents an intelligent detection system centered on the lightweight YOLOv11n model. The proposed framework not only enhances detection precision but also supports continuous monitoring and risk prevention in real-world driving environments, providing a technically feasible and operationally efficient solution for improving driver safety.","YOLOv11, CNN (Redes Convolucionales)",,Conducción naturalista / Vehículo real en vía pública,30 frames,"mAP50 of 69.26, accuracy of 65.55, 30 frames per second, 60 milliseconds",,,,"The YOLOv11n model-based detection system accurately detects six common dangerous driving behaviors, providing timely alerts to mitigate potential risks, with real-time performance suitable for practical deployment.","@article{liu2026research, author={Yunpeng Liu and Joan Lazaro}, title={Research on the Analysis and Recognition System for Dangerous Driving Behaviors Based on Convolutional Neural Networks}, journal={Journal of Computer, Signal, and System Research}, year={2026}, doi={10.71222/7k53hy91}}",65.55,Revista Científica (Journal),"Journal of Computer, Signal, and System Research",Deep Learning (DL),Video / Frames,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Vía pública / Real,No especificado,No especificado
2,Driving Behavior Classification and Risk Quantification via Multisensor Machine Learning: From Simulation to Reality,"Arash Abarghooei, Mojtaba Ahmadi",2026,10.1109/tim.2026.3654736,Driver behaviors such as aggression and distraction are leading contributors to traffic accidents worldwide.,"SVM, Machine Learning",,Simulador de conducción / Entorno virtual,,"92% accuracy, 88% accuracy",The models trained solely on simulator data achieved over 92% accuracy in detecting aggressive driving and more than 88% accuracy for distraction detection when applied to real-vehicle data.,,,This real-time driver behavior detection system using in-vehicle sensors and physiological measurements accurately detects aggressive and distracted driving behaviors with over 92% accuracy in real-world scenarios.,"@article{abarghooei2026driving, author={Arash Abarghooei and Mojtaba Ahmadi}, title={Driving Behavior Classification and Risk Quantification via Multisensor Machine Learning: From Simulation to Reality}, journal={IEEE Transactions on Instrumentation and Measurement}, year={2026}, doi={10.1109/tim.2026.3654736}}",92.0,Revista Científica (Journal),IEEE Transactions on Instrumentation and Measurement,Machine Learning (ML),No especificado,Otras Metodologías,Machine Learning (ML),2025 - 2026,Otros,No especificado,Otros
3,Trustworthy Driver State Perception via Contextual Interaction-Driven Evidential Vision-Language Fusion in Vehicular Cyber-Physical Systems,"Chuanfei Hu, Xinde Li, Jianxin Pang",2026,10.1109/tits.2025.3542447,A vision-driven driver monitoring system plays a vital role of vehicular cyber-physical systems (VCPS) to guarantee the driving safety.,Deep Learning,,,,,,"The superior performance of TDSP to recognize dangerous states are 85.41% and 83.12% in terms of accuracy and F1 score, which outperforms the state-of-the-art methods by 4.68% and 3.99%. Extensive experiments are conducted on two public benchmarks, where the superiority of TDSP is demonstrated compared with the state-of-the-art methods.",,The code will be public at https://github.com/w64228013/TDSP.,"@article{hu2026trustworthy, author={Chuanfei Hu and Xinde Li and Jianxin Pang}, title={Trustworthy Driver State Perception via Contextual Interaction-Driven Evidential Vision-Language Fusion in Vehicular Cyber-Physical Systems}, journal={IEEE Transactions on Intelligent Transportation Systems}, year={2026}, doi={10.1109/tits.2025.3542447}}",,Revista Científica (Journal),IEEE Transactions on Intelligent Transportation Systems,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,No especificado
4,"Driver Monitoring System Using Computer Vision for Real-Time Detection of Fatigue, Distraction and Emotion via Facial Landmarks and Deep Learning","Tamia Zambrano, Luis Arias, Edgar Haro, Víctor Santos, M. Trujillo-Guerrero",2026,10.3390/s26030889,"Car accidents remain a leading cause of death worldwide, with drowsiness and distraction accounting for roughly 25% of fatal crashes in Ecuador. However, it struggled with sadness and failed to detect fear, likely due to the subtlety of real-world expressions and limitations in the training dataset.","CNN (Redes Convolucionales), MobileNet, Deep Learning",,Simulador de conducción / Entorno virtual,27 participants,100% accuracy,"It combines a MobileNetV2-based CNN trained on RAF-DB for emotion recognition and MediaPipe's 468 facial landmarks to compute the EAR (Eye Aspect Ratio), the MAR (Mouth Aspect Ratio), the gaze, and the head pose. However, it struggled with sadness and failed to detect fear, likely due to the subtlety of real-world expressions and limitations in the training dataset.",,MediaPipe,"This real-time driver monitoring system effectively detects fatigue, distraction, and emotions from facial expressions, with strong results in detecting distraction, yawning, and eye closure.","@article{zambrano2026monitoring, author={Tamia Zambrano and Luis Arias and Edgar Haro and Víctor Santos and M. Trujillo-Guerrero}, title={Driver Monitoring System Using Computer Vision for Real-Time Detection of Fatigue, Distraction and Emotion via Facial Landmarks and Deep Learning}, journal={Sensors (Basel, Switzerland)}, year={2026}, doi={10.3390/s26030889}}",100.0,Revista Científica (Journal),"Sensors (Basel, Switzerland)",Deep Learning (DL),Sujetos Humanos,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Otros,Otros,Otros
5,A Cost-Effective Intelligent Edge-Based Driver Monitoring System for Real-Time Detection of Unsafe Driving Behaviors,"F. Rahman, Joaquin Owono Ntoo, M. Selim, Ahmed Abdelmoamen Ahmed",2026,10.1109/icnc68183.2026.11416852,"The rapid increase in vehicle numbers across U.S. roadways has intensified concerns regarding traffic safety, as motor vehicle incidents account for the overwhelming majority of transportation-related fatalities and injuries. Human factors-particularly distraction, fatigue, and drowsiness-remain the predominant causes, contributing to approximately 94% of all traffic accidents.",,,Conducción naturalista / Vehículo real en vía pública,,,"This decentralized approach reduces latency and operational costs, preserves data privacy, and minimizes dependence on external network infrastructures.",,Raspberry Pi,"This cost-effective driver monitoring system using affordable edge hardware like Raspberry Pi effectively detects unsafe driving behaviors and generates timely driver alerts, with a detection accuracy of approximately 92% in real-world conditions.","@inproceedings{rahman2026costeffective, author={F. Rahman and Joaquin Owono Ntoo and M. Selim and Ahmed Abdelmoamen Ahmed}, title={A Cost-Effective Intelligent Edge-Based Driver Monitoring System for Real-Time Detection of Unsafe Driving Behaviors}, booktitle={2026 International Conference on Computing, Networking and Communications (ICNC)}, year={2026}, doi={10.1109/icnc68183.2026.11416852}}",,Conferencia (Conference),"2026 International Conference on Computing, Networking and Communications (ICNC)",Sin especificar,No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,Vía pública / Real,Edge Computing,Otros
6,SafeStreets: Deep Learning-Based Real-Time Traffic Violation Detection System,"Chayadevi M L, S. Uday, Sourav Mantesh Shet",2026,10.1109/iitcee67948.2026.11394149,"The list of traffic violations on two-wheeler that has contributed to the increase of accidents on city roads, covers the non-use of a helmet, triple riding, covered or fragmented license plates, and illegal parking on the opposite side of the road. The main causes of traffic congestion and reduced transport capacity stem from these violations.","CNN (Redes Convolucionales), Deep Learning",,Videovigilancia / CCTV,,,,The experimental results demonstrate that detection accuracy and operational efficiency and enforcement reliability have improved when compared to traditional surveillance methods.,,"The SafeStreets system improves traffic safety and efficiency by using deep learning algorithms to detect and enforce traffic violations, enhancing operational efficiency and enforcement reliability.","@inproceedings{l2026safestreets, author={Chayadevi M L and S. Uday and Sourav Mantesh Shet}, title={SafeStreets: Deep Learning-Based Real-Time Traffic Violation Detection System}, booktitle={2026 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)}, year={2026}, doi={10.1109/iitcee67948.2026.11394149}}",,Conferencia (Conference),"2026 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)",Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Cámaras (CCTV),No especificado,No especificado
7,Intelligent Traffic Accident Detection System using Deep Learning Fusion Techniques,"Ajay Kumar, Sanjay Roka, Aditya Joshi, Manoj Diwakar, Neeraj Kumar Pandey, Prabhishek Singh",2026,10.1109/icauc68182.2026.11441302,"Video surveillance traffic incident detection is an important part of Intelligent Transportation Systems, as it allows for the quick response to emergency incidents and enhances the safety of road users. The use of fixed cameras to monitor traffic creates several problems for traffic incident detection, including vehicle occlusions; changes in lighting, the complexity of how vehicles interact with each other, and the need to represent both sudden collisions and gradual change in traffic flow over time.","LSTM, Transformer, ResNet, Deep Learning",,Videovigilancia / CCTV,,accuracy of 97.93,"The use of fixed cameras to monitor traffic creates several problems for traffic incident detection, including vehicle occlusions; changes in lighting, the complexity of how vehicles interact with each other, and the need to represent both sudden collisions and gradual change in traffic flow over time.",,CCTV / Cámaras,The evaluation of the framework produced a classification accuracy of 97.93% (with equal precision and recall for accident and normal traffic classes) in realistic surveillance scenarios.,"@inproceedings{kumar2026intelligent, author={Ajay Kumar and Sanjay Roka and Aditya Joshi and Manoj Diwakar and Neeraj Kumar Pandey and Prabhishek Singh}, title={Intelligent Traffic Accident Detection System using Deep Learning Fusion Techniques}, booktitle={2026 International Conference on AI-Driven Smart Systems and Ubiquitous Computing (ICAUC)}, year={2026}, doi={10.1109/icauc68182.2026.11441302}}",97.93,Conferencia (Conference),2026 International Conference on AI-Driven Smart Systems and Ubiquitous Computing (ICAUC),Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Cámaras (CCTV),Cámaras / CCTV,Otros
8,A Comparative Evaluation of Deep Learning Models for Road Accident Detection Using CCTV Images and Dashcam Videos,"Syed Jamaluddin Ahmad, Hamimah Ujir, I. Hipiny, S. Junaini",2026,10.1155/js/2985368,"Road traffic accidents (RTAs) remain a major global safety challenge, requiring reliable automated detection systems to support rapid emergency response, traffic management, and smart city surveillance.","CNN (Redes Convolucionales), LSTM, SVM, Deep Learning, Machine Learning",,Videovigilancia / CCTV,,"99% accuracy, 99.53% accuracy","Publicly available datasets comprising several 1000 annotated CCTV images and thousands of dashcam video clips were used, covering diverse traffic scenarios, including urban and highway environments, day and night conditions, weather variations, and multiple camera viewpoints.","For dashcam video analysis, the VGG16‐LSTM model outperformed competing approaches, achieving 99.53% accuracy and a high area under the receiver operator characteristic (ROC) curve.",CCTV / Cámaras,"Future research should examine cross‐dataset validation, event‐level detection, and robustness in uncontrolled real‐world environments.","@article{ahmad2026comparative, author={Syed Jamaluddin Ahmad and Hamimah Ujir and I. Hipiny and S. Junaini}, title={A Comparative Evaluation of Deep Learning Models for Road Accident Detection Using CCTV Images and Dashcam Videos}, journal={Journal of Sensors}, year={2026}, doi={10.1155/js/2985368}}",99.0,Revista Científica (Journal),Journal of Sensors,Híbrido (ML + DL),No especificado,Otras Metodologías,Otras / Híbrido / Tradicional,2025 - 2026,Cámaras (CCTV),Cámaras / CCTV,Otros
9,UAV-based object detection model for smart surveillance using deep neural network,"Gyanendra Kumar, SurSingh Rawat, J. Gautam, A. Salau",2026,10.1016/j.measen.2025.101982,,YOLOv5,,UAV / Drones,,"95.1 % precision, 86.3 % recall",,"The enhanced YOLOv5-based detection model improves object detection in UAV imagery, achieving 95.1 % precision, 86.3 % recall, and 91.6 % mean Average Precision compared to standard YOLOv5 and other state-of-the-art detectors.",,"The enhanced YOLOv5-based detection model improves object detection in UAV imagery, achieving 95.1 % precision, 86.3 % recall, and 91.6 % mean Average Precision compared to standard YOLOv5 and other state-of-the-art detectors.","@article{kumar2026uavbased, author={Gyanendra Kumar and SurSingh Rawat and J. Gautam and A. Salau}, title={UAV-based object detection model for smart surveillance using deep neural network}, journal={Measurement: Sensors}, year={2026}, doi={10.1016/j.measen.2025.101982}}",,Revista Científica (Journal),Measurement: Sensors,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,Drones / UAV,No especificado,No especificado
10,Hybrid Deep Learning and Classification Framework for Automatic Traffic Inspection Classification Based on Image Detection,"Qingning Chen, Yong Zhao, Xiangsheng Luo, Wanjun He, Guanyu Shi",2026,10.1002/ett.70325,"To address the challenges of false negatives and false positives of small objects and the difficulty of fine‐grained behavior recognition in complex traffic scenarios, this paper constructs a hybrid deep learning framework based on image detection to synergistically improve multi‐object localization accuracy and semantic understanding capabilities.","YOLOv5, CNN (Redes Convolucionales), Deep Learning",,,,,"To address the challenges of false negatives and false positives of small objects and the difficulty of fine‐grained behavior recognition in complex traffic scenarios, this paper constructs a hybrid deep learning framework based on image detection to synergistically improve multi‐object localization accuracy and semantic understanding capabilities. To achieve fine‐grained semantic understanding, a two‐branch classification network is designed.",,,"This hybrid deep learning framework improves small object detection and fine-grained event recognition in complex traffic scenarios, promoting intelligent transportation automation.","@article{chen2026hybrid, author={Qingning Chen and Yong Zhao and Xiangsheng Luo and Wanjun He and Guanyu Shi}, title={Hybrid Deep Learning and Classification Framework for Automatic Traffic Inspection Classification Based on Image Detection}, journal={Transactions on Emerging Telecommunications Technologies}, year={2026}, doi={10.1002/ett.70325}}",,Revista Científica (Journal),Transactions on Emerging Telecommunications Technologies,Deep Learning (DL),No especificado,Deep Learning (DL),Deep Learning (DL),2025 - 2026,No especificado,No especificado,Otros
